"","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)"
"Costa Rica","0.054","0.04","0.01","0","0","0","0","0","0.01","0.069","0.166","0.618","0.793","1.909","2.361","0.872","0.493","0.711","0.965","1.355"
"Côte d'Ivoire","300.6 [148.7-493.5]","279.5 [138.6-470.3]","286.6 [132.2-480.4]","278.5 [139.5-462.2]","260.5 [146.6-400.7]","228.9 [164.1-307.7]","293.8 [220.3-380.8]","387.5 [312.4-475.7]","451.1 [374.3-542.1]","478.4 [393.7-573.7]","497.6 [409.3-606.2]","510.2 [413.4-620.2]","508.5 [411.7-621.8]","505.0 [406.5-619.6]","509.5 [414.1-624.9]","518.0 [421.0-632.1]","519.4 [421.5-633.0]","519.0 [422.8-634.9]","518.8 [418.8-631.3]","514.0 [418.1-624.7]"
"Democratic People's Republic of Korea","0.186","0.371","0.461","0.275","0.753","1.077","1.48","2.256","1.74","1.41","1.534","1.75","0.508","0.736","0.721","1.708","1.799","10.847","12.799","10.117"
"Democratic Republic of the Congo","325.8 [244.7-424.8]","322.4 [242.3-422.4]","315.7 [237.0-409.5]","304.7 [228.5-396.1]","298.7 [226.4-386.4]","305.7 [234.5-391.1]","326.5 [255.2-413.3]","354.1 [281.2-439.6]","382.1 [309.3-468.3]","407.7 [330.5-496.7]","432.3 [353.6-524.4]","456.8 [375.3-553.2]","472.9 [383.7-574.5]","480.2 [391.3-585.4]","484.1 [392.4-590.8]","481.4 [390.1-587.7]","474.2 [383.7-581.4]","468.4 [379.6-570.3]","471.6 [381.0-573.4]","473.7 [382.3-578.7]"
"Djibouti","67.666","35.209","20.722","19.812","13.821","14.005","2.542","3.4 [2.6-4.1]","3.4 [2.7-4.2]","1.603","4.327","3.4 [2.6-4.2]","3.4 [2.6-4.1]","3.4 [2.7-4.2]","3.4 [2.6-4.3]","3.4 [2.6-4.1]","3.4 [2.6-4.2]","3.4 [2.7-4.1]","3.4 [2.5-4.2]","3.4 [2.6-4.3]"
"Dominican Republic","0.3 [0.2-0.3]","0.1 [0.1-0.1]","0.08 [0.07-0.10]","0.1 [0.1-0.2]","0.1 [0.1-0.2]","0.1 [0.1-0.1]","0.1 [0.1-0.2]","0.2 [0.2-0.3]","0.4 [0.3-0.5]","0.6 [0.5-0.7]","0.4 [0.3-0.5]","0.5 [0.4-0.5]","0.7 [0.6-0.8]","0.9 [0.7-1.1]","1.0 [0.8-1.2]","0.6 [0.5-0.7]","0.4 [0.3-0.5]","0.4 [0.3-0.4]","0.3 [0.2-0.3]","0.3 [0.3-0.4]"
"Ecuador","3.561","3.32","2.607","2.478","1.308","0.521","0.804","1.206","2.744","4.277","9.57","11.547","20.317","24.074","42.32","72.514","133.64","226.52","289.379","282.87"
"Egypt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"El Salvador","0","0","0","0.01","0","0","0","0.01","0.01","0.015","0.016","0.027","0.032","0.04","0.055","0.092","0.07","0.097","0.301","0.63"
"Equatorial Guinea","237.1 [137.2-386.4]","254.8 [154.3-397.3]","284.3 [187.8-411.2]","308.0 [218.9-419.7]","330.0 [246.5-436.4]","344.7 [263.8-442.9]","345.3 [264.8-441.3]","329.2 [248.3-428.6]","307.4 [209.8-432.7]","305.0 [198.2-450.4]","322.7 [218.5-463.6]","356.7 [267.2-464.7]","379.7 [295.7-481.9]","388.0 [304.7-486.9]","393.0 [306.9-495.0]","395.3 [308.3-499.3]","392.3 [305.8-496.6]","387.2 [300.7-489.1]","384.7 [302.4-489.2]","382.5 [296.9-485.0]"
